OBJECTID,WARDNAME,WardCode,SHAPE_Length,SHAPE_Area
106,INNISFAYLE,N08000332,5583.4044112792,1271899.32142802
107,KNOCK,N08000333,4947.30359647671,1298303.31293073
108,LADYBROOK,N08000334,6215.06520994775,1105185.66874724
109,LAGMORE,N08000335,7357.80374725065,2172870.35422138
110,LEGONIEL,N08000336,16448.4290870766,8574443.42622854
111,MALONE,N08000337,6804.11693787643,2061528.72809584
112,MEROK,N08000338,5661.38495762395,1420238.60596377
113,MUSGRAVE,N08000339,7386.98422440962,1704730.4208592
114,NEW LODGE,N08000340,3991.07703320291,716162.397947742
115,ORANGEFIELD,N08000341,5820.09605796629,1255831.84068239
116,ORMEAU,N08000342,6290.10217576317,1463319.55992427
117,RAVENHILL,N08000344,4735.74026432333,1027004.93823036
118,ROSETTA,N08000345,6296.47318321115,1110802.31947466
119,SANDOWN,N08000346,5257.73437025953,938569.356486355
120,SHANKILL,N08000348,5033.02338433447,1112403.09695858
121,SHAW'S ROAD,N08000349,6226.78570577717,1744245.39088991
122,STRANMILLIS,N08000352,8158.42069622888,2467755.41316558
123,SYDENHAM,N08000353,13820.1861429424,9108169.62787171
124,TURF LODGE,N08000354,8956.25797956,2368833.13584239
125,TWINBROOK,N08000355,5477.19124796388,1414781.99475009
126,UPPER MALONE,N08000356,14721.1551836279,4322758.48062478
127,WATER WORKS,N08000357,6207.08930776868,1361575.69194177
128,WINDSOR,N08000358,5698.22194136661,1381021.70915591
129,WOODSTOCK,N08000359,4003.77725457566,666442.401508162
130,WOODVALE,N08000360,4357.11271564395,841573.230054164
131,AGHADOWEY,N08000401,67150.6340524187,118756802.384909
132,ALTAHULLION,N08000402,59920.7126328395,64304548.2883746
133,ATLANTIC,N08000403,17540.1813455363,5354319.38551494
134,BALLYCASTLE,N08000404,9801.66922550045,2346945.66011007
135,BALLYKELLY,N08000405,48661.83292424,57105052.7647224
136,BALLYMONEY EAST,N08000406,4648.19309656836,998102.399270521
137,BALLYMONEY NORTH,N08000407,8708.917608072,3595354.78612368
138,BALLYMONEY SOUTH,N08000408,13731.1591896504,7960523.66127604
139,CASTLEROCK,N08000409,25686.3246836614,18132254.0350547
140,CHURCHLAND,N08000410,5827.19687405788,1576995.58320782
141,CLOGH MILLS,N08000411,60568.6486994752,63628558.4164303
142,COOLESSAN,N08000412,5508.63748068199,1131323.64316332
143,DERVOCK,N08000413,50932.9004422005,61761237.7528977
144,DRUMSURN,N08000414,44033.9323316699,44186483.972974
145,DUNDOOAN,N08000415,54194.0446889062,78180787.3089103
146,DUNGIVEN,N08000416,71340.5477768755,134878670.48857
147,DUNLOY,N08000417,46122.892684033,66465480.6383798
148,FEENY,N08000418,73700.0824375757,99986459.8226182
149,GARVAGH,N08000419,43749.7579403411,75720803.077276
150,GIANT'S CAUSEWAY,N08000420,67691.1581079342,86080161.7212612
151,GREYSTEEL,N08000421,38740.651575139,36120770.7799936
152,GREYSTONE,N08000422,8105.33689034437,1124600.15302102
153,HOPEFIELD,N08000423,7343.5980229612,2087882.31910856
154,KILREA,N08000424,41208.2461530493,59738450.8995069
155,KINBANE,N08000425,55825.8084578068,83164415.7825836
156,LOUGHGUILE and STRANOCUM,N08000426,72726.8433480304,121741237.54543
157,LURIGETHAN,N08000427,46576.6411071746,69483366.8840387
158,MACOSQUIN,N08000428,57168.1921675807,88963994.1314703
159,MAGILLIGAN,N08000429,67817.5373105679,145014684.397694
160,MOUNTSANDEL,N08000430,9222.84411344602,3043295.9053909
161,PORTRUSH and DUNLUCE,N08000431,37835.7161027467,20702900.3791151
162,PORTSTEWART,N08000432,17591.4909755777,3764932.51269913
163,QUARRY,N08000433,6852.98027063956,1723036.26564107
164,RASHARKIN,N08000434,57186.9563800344,58963809.4660615
165,ROESIDE,N08000435,7325.27593785494,2106587.93145316
166,ROUTE,N08000436,37583.9982804255,33088551.3610792
167,UNIVERSITY,N08000438,8252.91887743563,2724475.17118969
168,WATERSIDE,N08000439,7371.48305110767,2116358.77800115
169,WINDY HALL,N08000440,8606.892613604,2914845.17974704
170,ARTIGARVAN,N08000501,38910.1160794363,48378691.3648006
171,BALLYCOLMAN,N08000502,6442.67974705303,1792243.27952356
172,BALLYMAGROARTY,N08000503,10185.6227036904,5235979.1847828
173,BRANDYWELL,N08000504,4695.53421083119,643066.042956415
174,CARN HILL,N08000505,4868.67623800004,1047262.9956787
175,CASTLEDERG,N08000506,25137.5646095259,22327186.5510349
176,CAW,N08000507,7021.8767001198,1653629.56054989
177,CITY WALLS,N08000508,5378.1853384147,1099931.65724017
178,CLAUDY,N08000509,51485.7830123425,82706948.6046453
179,CLONDERMOT,N08000510,8954.98906902338,2648984.09101564
180,CREGGAN,N08000511,4291.10550413611,674397.978544755
181,CREGGAN SOUTH,N08000512,4882.29865182155,1024862.60829574
182,DRUMAHOE,N08000514,9498.63915853681,2635539.15274591
183,DUNNAMANAGH,N08000515,72401.1509268292,136447299.063755
184,EBRINGTON,N08000516,8387.20126546778,2817227.5642887
185,EGLINTON,N08000517,24147.8846343721,14381960.2999895
186,ENAGH,N08000518,40005.26207835,44030714.5806648
187,FINN,N08000519,45621.3444192873,42500145.5590082
188,FOYLE SPRINGS,N08000520,4132.25109040465,855742.466289842
189,GALLIAGH,N08000521,4183.34809595005,900655.754235463
190,GLENDERG,N08000522,102021.520063876,212045658.445847
191,GLENELLY VALLEY,N08000523,109022.614695878,256897025.512491
192,KILFENNAN,N08000524,7887.81253729401,1620861.07853507
193,LISNAGELVIN,N08000525,4685.53645827729,815423.613026576
194,MADAM'S BANK,N08000526,6569.65579018389,2208316.16235103
