OBJECTID,WARDNAME,WardCode,SHAPE_Length,SHAPE_Area
436,LISNASKEA,N08000628,11782.0785424664,5583537.70165602
437,LISBELLAW,N08000626,43681.5239328016,52284772.0854539
438,DONAGH,N08000613,67208.0233821207,109064019.740818
439,BESSBROOK,N08001007,11613.5683106326,3901263.60521681
440,GARNERVILLE,N08000329,8678.79410317259,2901996.83156534
441,STORMONT,N08000351,11868.0057325027,5325666.71705648
442,SHANDON,N08000347,8668.60537417235,2614308.0300893
443,GILNAHIRK,N08000330,6317.74824800256,1806885.68497413
444,KILLYCOMAIN,N08000222,8831.05931389072,2571346.13652387
445,BERAGH,N08000604,51475.1588611401,65920247.0695617
446,OWENKILLEW,N08000632,72573.3381319615,187298773.508313
447,DRUMNAKILLY,N08000615,50136.9602607612,47738274.5468439
448,EDERNEY and KESH,N08000617,48965.5853238977,75783200.3294866
449,DROMORE,N08000614,52114.0799004492,45155129.9856812
450,STEWARTSTOWN,N08000350,6277.98440562753,994464.74774029
451,DERGMONEY,N08000610,8920.71955844683,2372683.3522373
452,CAMOWEN,N08000607,12683.7982728153,4748455.38140041
453,TRILLICK,N08000640,51060.7952581314,88258551.7852056
454,BALLINAMALLARD,N08000601,39639.8358697562,38148618.5952017
455,NEWTOWNBUTLER,N08000630,87577.9283636498,90664342.5619127
456,IRVINESTOWN,N08000624,38199.5019994745,42277356.2557594
457,LISNARRICK,N08000627,53024.8790184394,75357092.1984792
458,CASTLECOOLE,N08000608,16389.4032228899,6617833.4184132
459,PORTORA,N08000633,14908.3297489751,4131858.62565467
460,ERNE,N08000618,9920.14086387233,3219419.38221596
461,HILLFOOT,N08000331,7982.73391798898,2621943.66624461
462,TORR HEAD and RATHLIN,N08000437,133421.389737588,253113060.892637
