WARD93_ID,NAME,SHAPE_Length,SHAPE_Area,OBJECTID
817,BLUEFIELD,5373.96787067581,920805.586149413,169
1921,NEW BUILDINGS,11952.8726731678,5245030.6833317,170
2310,CLOUGHFERN,8188.60651652336,3323497.33179344,171
701,ANDERSONSTOWN,5861.69390267349,1078942.32425205,172
2415,GROOMSPORT,21599.2496065224,7356815.43203808,173
1018,STRAND,14854.5405877776,3346985.45508768,174
2016,VALLEY,32491.7615528157,36713808.1741372,175
1915,EBRINGTON,5574.30920457348,1537561.37878886,176
208,DONAGHADEE NORTH,4.33644340915616,1.16634699948046,177
202,BALLYWALTER,36090.5091503536,49041977.7886775,178
208,DONAGHADEE NORTH,26.0795887390289,29.8459975036546,179
1401,ALTMORE,48935.9186343362,60571956.5395663,180
2113,KINBANE,39087.5642882154,38333115.0363966,181
705,BALLYNAFEIGH,4057.39677336364,671328.613576102,182
510,KILLOQUIN UPPER,26516.1941900224,24123702.334244,183
801,BLACKHEAD,9870.28503257934,2369681.75443437,184
712,BOTANIC,5627.49067877814,1304230.83242276,185
1304,BALLYNAHINCH EAST,6939.44428530429,2082106.43270829,186
208,DONAGHADEE NORTH,10438.7874293835,1253086.23080904,187
1314,KILLOUGH,56994.4157969107,58625426.7251024,188
226,LISBANE,40388.4370655048,42328557.4738819,189
412,FAIR GREEN,4022.56568784624,642098.307196466,190
2110,GLENDUN,46140.4758310092,89272620.2881711,191
415,GLENWHIRRY,73786.8842349039,115798747.26034,192
1822,MAZE,25244.9688378312,15670545.5678921,193
746,UPPER SPRINGFIELD,9690.91599301944,2502618.77409072,194
1303,BALLYMAGLAVE,17954.0162180244,5172538.97624036,195
2324,VALLEY,8689.31343152915,1972939.22486508,196
710,BLACKSTAFF,7179.33814154012,1924946.07924985,197
1206,BROWNSTOWN,13727.4233976956,7353913.20816296,198
2317,HAWTHORNE,4115.55238211493,744133.979099316,199
615,SEAPATRICK,9163.11588703558,3907222.87499816,200
402,ARDEEVIN,11154.6219012807,3434780.23929641,201
515,STRANOCUM,33915.6512711578,40103236.0031828,202
606,DROMORE SOUTH,18654.6275544836,12108095.1315665,203
1934,HOLLY MOUNT,43745.7348361295,52506128.4685456,204
749,WINDSOR,4708.70104546205,918602.605624386,205
1510,DONAGH,67087.225579503,109052228.631017,206
2230,WINDSOR HILL,8019.98856486103,1562041.87422378,207
2210,DAISY HILL,6447.07621029516,1524860.20990737,208
1013,MACOSQUIN,57787.7842847485,73495189.1517316,209
2327,BALLYROBERT,27580.8547407401,25338165.7927207,210
109,GREYSTONE,4120.8100668418,566541.397731513,211
2514,KILLYCLOGHER,8993.8987451495,2168439.42004342,212
2607,GLENDERG,81543.7437395834,170900778.861514,213
417,HARRYVILLE,10444.2157101739,2893164.38716377,214
727,GLENCOLIN,15308.4297363357,9542174.78928064,215
1712,RATHBRADY,4265.22268319289,783766.569494493,216
1708,FOREST,39867.6937318183,38938726.7344583,217
2420,PRINCETOWN,8751.38019958488,1623996.26698964,218
2516,NEWTOWNSAVILLE,55483.5296832542,71441799.9837441,219
906,DOWNSHIRE,3521.5546696144,442873.857252017,220
2411,CRAIGAVAD,100.817047611252,410.332469001669,221
1420,MOY,31100.5581603732,26589358.1573441,222
1415,DRUMGLASS,11367.7171182632,4721065.26390828,223
208,DONAGHADEE NORTH,4.25053948324019,1.1185040001317,224
1107,LISSAN,51504.5251790344,73030543.8471438,225
1220,PARKLAKE,7599.27472885377,2762212.12797265,226
2613,SOUTH,6274.77963492248,1703772.79551091,227
222,BALLYRAINEY,20484.0566359454,10179587.46455,228
112,RANDALSTOWN,24542.9669382445,23083662.7013588,229
2425,BLOOMFIELD,5747.61221123819,1446282.45721001,230
1518,LISNASKEA,11805.4552991668,5588245.71607298,231
418,KELLS,32018.3165807101,21798356.2697482,232
2111,GLENSHESK,71522.6029781145,120689706.576691,233
2308,BURNTHILL,2952.45307765844,469281.887649316,234
208,DONAGHADEE NORTH,2700.84621944026,81749.8332784585,235
1325,BALLYMOTE,10632.5517816664,3595355.85646243,236
2006,KNOCKCLOGHRIM,44774.7482655173,41324204.583174,237
720,DUNCAIRN,16649.2019685747,9244510.41794413,238
1707,FEENY,67291.9065967598,94586748.6082832,239
2211,DERRYMORE,13034.4498954054,7305059.75725958,240
2219,LISNACREE,51652.3524763956,79440282.7036472,241
223,CARROWDORE,48093.5206760829,62833935.0199196,242
2605,EAST,6225.54515139384,888739.687167722,243
1824,OLD WARREN,4559.88747601648,750818.430112645,244
753,MUSGRAVE,6986.59867232688,1778355.86695504,245
1705,DUNGIVEN,9259.81347863817,2282591.41722368,246
1406,BENBURB,43908.2144207386,41115502.7995638,247
503,CARNANY,5385.78945008877,891301.387446467,248
912,HILLFOOT,6718.779980666,1525999.11586808,249
1309,DONARD,18.8197256305872,24.9042629988001,250
1812,HILDEN,5911.26294629191,1078589.44375706,251
208,DONAGHADEE NORTH,509.457699806786,13901.2568510198,252
