id,Name,Latitude,Longitude
2140,Fermanagh & S Tyrone,54.3962599256257,-7.430106341770914
2141,Ulster Mid,54.70889761247949,-7.074477446676107
2142,Londonderry,54.99593579135317,-6.92381683706795
2104,Belfast S,54.558733251486274,-5.94287600678152
2103,Belfast W,54.590624289370645,-5.969773325354578
2102,Belfast N,54.62705316302334,-5.9372460617740845
2101,Antrim S,54.66045424904682,-6.1760462644193135
2121,Down S,54.28913969909112,-6.009161433231973
2120,Down N,54.51353550364524,-5.747111862296479
2122,Armagh,54.29933524297873,-6.551184244839544
2100,Antrim N,54.98420351590174,-6.220396598685137
2105,Belfast E,54.597453144024215,-5.850563047998289
